source,target
24277119,19847832
24277119,18506072
24277119,11077852
24277119,20807142
24277119,18955830
24277119,1763190
18714758,18562307
18714758,217795
18714758,1665418
18714758,1457232
18714758,19713173
18714758,18506072
18714758,18425641
18714758,18243826
18714758,18955830
18714758,8908602
18714758,18549438
18821254,3376042
18821254,18232817
18821254,13560402
18821254,1776274
18821254,19416348
20068490,710272
20068490,19728145
20068490,788001
20068490,19687074
20068490,1324203
20068490,11776502
20068490,929402
19824779,18556100
19824779,2520612
19824779,8805172
19824779,19713173
19011737,18589616
19011737,19728145
19011737,13560402
19011737,6707902
22374557,710272
22374557,18562307
22374557,1187715
22374557,6335372
22374557,17487002
22374557,21262880
22374557,1324203
22374557,15335602
22374557,8805172
22374557,18180033
22374557,339011
22374557,227528
22374557,20807142
22374557,526316
22374557,1741429
15186082,2520612
15186082,22771879
15186082,1776274
15186082,1763190
15186082,20780059
24744100,11184352
24744100,23594916
25516196,21957723
25516196,18801828
25516196,1741429
25516196,16954142
19099815,4126912
19099815,21989057
19099815,19728145
19099815,7700282
19099815,19416348
19099815,252576
19099815,9307682
19099815,19528743
19099815,20583850
19099815,1169709
19099815,20440175
19099815,18602480
19099815,22023226
19099815,19108156
22771879,12588802
22771879,18672773
22771879,18495240
22771879,14396812
22771879,12847372
22771879,20780059
22771879,19277993
22771879,16140462
22771879,18297014
22771879,1360698
22771879,4705492
22771879,1349592
22771879,23053409
22771879,11625832
22771879,18634990
19277993,535553
19277993,12588802
19277993,19194894
19277993,18850080
19277993,1728035
19277993,19997487
19277993,1360698
19277993,16321082
19277993,23353167
19277993,7151442
19277993,13560402
19277993,5282132
19277993,20135762
19277993,18779992
19277993,16477792
19277993,5618532
19277993,11625832
19277993,18837102
19277993,7130232
19277993,3173762
19277993,16487812
19277993,14396812
19277993,11862932
19277993,19713173
19277993,18494105
19277993,10016162
19277993,21837219
19277993,19218850
19277993,23594916
19277993,25129130
19277993,17467312
19277993,18589616
19277993,405938
19277993,16447162
19277993,9376702
19277993,6707902
19277993,4126912
19277993,10178242
19277993,19904711
19277993,14546632
19277993,18616278
19277993,17872862
19277993,14557662
19277993,8771812
19277993,18634990
19277993,10016242
19277993,15297782
19277993,19654655
25129130,17894222
25129130,18314164
25129130,6707902
22796457,21174496
22796457,339011
22796457,19964997
22796457,526316
